url,expected_label,predicted_label
http://sp11ct-karnor-biz8-holsik-favrel.pages.dev/,1,0
https://docs.google.com/drawings/d/1bUUy1a4fDm7KH-n-eJdXB5-9tHC9Q2P1Cc_LloHkf3M/edit,1,0
https://docs.google.com/presentation/d/e/2PACX-1vQeFp3ntXPzgLHhl-5PMPHoUbxj2BulAPeiohaV44o3qTgxvxsMeUUUa73oecE-XUV008sUPztbqDF4/pub?start=false&amp;loop=false&amp;delayms=3000,1,0
https://bit.ly/3Cg6KFO,1,0
https://helsingborg-se.weebly.com/,1,0
https://hvccuweb.weebly.com/,1,0
https://b41q-4hw57-gk7-xau6fq-kdjbn.pages.dev/,1,0
https://sites.google.com/view/buda-com/in%C3%ADcio,1,0
https://docs.google.com/drawings/d/17XrDIDcYPlPWw461iAmjlXHNpSjhkqZbTEljywkq3U8/edit,1,0
https://bit.ly/4eqV6pg,1,0
https://docs.google.com/presentation/d/1BEyWSvtIMFDVquPznvCed5qgvbKRyF6PbuBJ8PyAiaE/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1,0
https://volny333445.weebly.com/,1,0
https://docs.google.com/presentation/d/1XGWq8NO7KPaRtUXsoYSvfQx6BpL-L8aSvsCR3NwJTcg/pub?start=true&amp;loop=false&amp;delayms=3000,1,0
https://sp12ct-veldar-biz-pramik-holsen.pages.dev/,1,0
https://www.dropbox.com/scl/fi/inhgvskcr6dwqoh1bpek6/BT-EMAIL-SUPPORT.paper?rlkey=2kv919kbtfpafy7rchkxealfj&dl=0,1,0
https://gfdddi0maxeriober.weebly.com/,1,0
http://mmapplicationshub-bhi.pages.dev/select,1,0
https://sp10ct-yorek-biz8-murev-kafil.pages.dev/,1,0
https://theroplmnghtuop.weebly.com/,1,0
https://telstraeaavx.weebly.com/,1,0
https://bit.ly/3Ba1Yck,1,0
https://sites.google.com/view/ad-ggle/,1,0
https://bit.ly/4hSBEEp,1,0
http://bhpe-ajn8-xpg5-d6c-7zx9-ke53vl.pages.dev/,1,0
https://wexaj19858.wixsite.com/plus,1,0
https://new.express.adobe.com/webpage/vJOSWlDt8UZRE,1,0
https://attzcxffclfjlggflggghjjhjljhjjhhk.weebly.com/,1,0
